id,device,timestamp,deviceId,rssi,rssiOld,beaconId,beaconName
560314691,142_(W10T_A7H_3),2022-04-26T13:22:20.744+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560314768,142_(W10T_A7H_3),2022-04-26T13:22:32.564+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560314767,142_(W10T_A7H_3),2022-04-26T13:22:32.564+00:00,509554898,-71,199,509542314,W10T_A7H_B-1-6
560314766,142_(W10T_A7H_3),2022-04-26T13:22:32.564+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560314804,142_(W10T_A7H_3),2022-04-26T13:22:38.669+00:00,509554898,-71,199,509558566,W10T_A7H_B-1-11
560314803,142_(W10T_A7H_3),2022-04-26T13:22:38.669+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560314802,142_(W10T_A7H_3),2022-04-26T13:22:38.669+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560314841,142_(W10T_A7H_3),2022-04-26T13:22:44.768+00:00,509554898,-74,202,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560314840,142_(W10T_A7H_3),2022-04-26T13:22:44.768+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560314839,142_(W10T_A7H_3),2022-04-26T13:22:44.768+00:00,509554898,-74,202,509558351,W10T_A7H_B-1-9
560314876,142_(W10T_A7H_3),2022-04-26T13:22:52.876+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560314910,142_(W10T_A7H_3),2022-04-26T13:22:58.980+00:00,509554898,-72,200,509542378,W10T_A7H_B-1-7
560314907,142_(W10T_A7H_3),2022-04-26T13:22:58.980+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560314911,142_(W10T_A7H_3),2022-04-26T13:22:58.980+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560314992,142_(W10T_A7H_3),2022-04-26T13:23:06.084+00:00,509554898,-72,200,509558351,W10T_A7H_B-1-9
560314991,142_(W10T_A7H_3),2022-04-26T13:23:06.084+00:00,509554898,-74,202,509542378,W10T_A7H_B-1-7
560314989,142_(W10T_A7H_3),2022-04-26T13:23:06.084+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560315044,142_(W10T_A7H_3),2022-04-26T13:23:15.843+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560315043,142_(W10T_A7H_3),2022-04-26T13:23:15.843+00:00,509554898,-71,199,509558351,W10T_A7H_B-1-9
560315099,142_(W10T_A7H_3),2022-04-26T13:23:23.955+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560315098,142_(W10T_A7H_3),2022-04-26T13:23:23.955+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560315131,142_(W10T_A7H_3),2022-04-26T13:23:31.063+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560315130,142_(W10T_A7H_3),2022-04-26T13:23:31.063+00:00,509554898,-71,199,509542314,W10T_A7H_B-1-6
560315166,142_(W10T_A7H_3),2022-04-26T13:23:37.159+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560315165,142_(W10T_A7H_3),2022-04-26T13:23:37.159+00:00,509554898,-72,200,509542378,W10T_A7H_B-1-7
560315164,142_(W10T_A7H_3),2022-04-26T13:23:37.159+00:00,509554898,-72,200,509558351,W10T_A7H_B-1-9
560315212,142_(W10T_A7H_3),2022-04-26T13:23:44.264+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560315211,142_(W10T_A7H_3),2022-04-26T13:23:44.264+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560315263,142_(W10T_A7H_3),2022-04-26T13:23:51.368+00:00,509554898,-73,201,509542314,W10T_A7H_B-1-6
560315261,142_(W10T_A7H_3),2022-04-26T13:23:51.368+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560315289,142_(W10T_A7H_3),2022-04-26T13:23:58.473+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560315288,142_(W10T_A7H_3),2022-04-26T13:23:58.473+00:00,509554898,-72,200,509558243,W10T_A7H_B-1-8 AMS
560315380,142_(W10T_A7H_3),2022-04-26T13:24:07.594+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560315379,142_(W10T_A7H_3),2022-04-26T13:24:07.594+00:00,509554898,-72,200,509542029,W10T_A7H_B-1-1
560315378,142_(W10T_A7H_3),2022-04-26T13:24:07.594+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560315416,142_(W10T_A7H_3),2022-04-26T13:24:12.685+00:00,509554898,-70,198,509542314,W10T_A7H_B-1-6
560315415,142_(W10T_A7H_3),2022-04-26T13:24:12.685+00:00,509554898,-77,205,509542097,W10T_A7H_B-1-2
560315470,142_(W10T_A7H_3),2022-04-26T13:24:21.794+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560315502,142_(W10T_A7H_3),2022-04-26T13:24:27.897+00:00,509554898,-70,198,509542378,W10T_A7H_B-1-7
560315501,142_(W10T_A7H_3),2022-04-26T13:24:27.897+00:00,509554898,-70,198,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560315500,142_(W10T_A7H_3),2022-04-26T13:24:27.897+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560315547,142_(W10T_A7H_3),2022-04-26T13:24:33.999+00:00,509554898,-70,198,509558438,W10T_A7H_B-1-10
560315546,142_(W10T_A7H_3),2022-04-26T13:24:33.999+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560315545,142_(W10T_A7H_3),2022-04-26T13:24:33.999+00:00,509554898,-71,199,509542314,W10T_A7H_B-1-6
560315591,142_(W10T_A7H_3),2022-04-26T13:24:42.649+00:00,509554898,-71,199,509542029,W10T_A7H_B-1-1
560315590,142_(W10T_A7H_3),2022-04-26T13:24:42.649+00:00,509554898,-72,200,509542097,W10T_A7H_B-1-2
560315629,142_(W10T_A7H_3),2022-04-26T13:24:49.754+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560315628,142_(W10T_A7H_3),2022-04-26T13:24:49.754+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560315627,142_(W10T_A7H_3),2022-04-26T13:24:49.754+00:00,509554898,-70,198,509558438,W10T_A7H_B-1-10
560315671,142_(W10T_A7H_3),2022-04-26T13:24:57.866+00:00,509554898,-71,199,509542097,W10T_A7H_B-1-2
560315670,142_(W10T_A7H_3),2022-04-26T13:24:57.866+00:00,509554898,-70,198,509542029,W10T_A7H_B-1-1
560315669,142_(W10T_A7H_3),2022-04-26T13:24:57.866+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560315741,142_(W10T_A7H_3),2022-04-26T13:25:04.968+00:00,509554898,-71,199,509542029,W10T_A7H_B-1-1
560315740,142_(W10T_A7H_3),2022-04-26T13:25:04.968+00:00,509554898,-70,198,509542314,W10T_A7H_B-1-6
560315739,142_(W10T_A7H_3),2022-04-26T13:25:04.968+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560315782,142_(W10T_A7H_3),2022-04-26T13:25:11.071+00:00,509554898,-70,198,509558351,W10T_A7H_B-1-9
560315827,142_(W10T_A7H_3),2022-04-26T13:25:18.176+00:00,509554898,-72,200,509542029,W10T_A7H_B-1-1
560315826,142_(W10T_A7H_3),2022-04-26T13:25:18.176+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560315868,142_(W10T_A7H_3),2022-04-26T13:25:25.280+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560315866,142_(W10T_A7H_3),2022-04-26T13:25:25.280+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560315904,142_(W10T_A7H_3),2022-04-26T13:25:32.385+00:00,509554898,-74,202,509558438,W10T_A7H_B-1-10
560315903,142_(W10T_A7H_3),2022-04-26T13:25:32.385+00:00,509554898,-77,205,509542097,W10T_A7H_B-1-2
560315984,142_(W10T_A7H_3),2022-04-26T13:25:46.594+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560315983,142_(W10T_A7H_3),2022-04-26T13:25:46.594+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560316025,142_(W10T_A7H_3),2022-04-26T13:25:53.701+00:00,509554898,-78,206,509542097,W10T_A7H_B-1-2
560316024,142_(W10T_A7H_3),2022-04-26T13:25:53.701+00:00,509554898,-73,201,509542314,W10T_A7H_B-1-6
560316069,142_(W10T_A7H_3),2022-04-26T13:26:01.811+00:00,509554898,-72,200,509542314,W10T_A7H_B-1-6
560316068,142_(W10T_A7H_3),2022-04-26T13:26:01.811+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560316067,142_(W10T_A7H_3),2022-04-26T13:26:01.811+00:00,509554898,-73,201,509558438,W10T_A7H_B-1-10
560316149,142_(W10T_A7H_3),2022-04-26T13:26:07.909+00:00,509554898,-71,199,509558438,W10T_A7H_B-1-10
560316191,142_(W10T_A7H_3),2022-04-26T13:26:15.014+00:00,509554898,-69,197,509558438,W10T_A7H_B-1-10
560316190,142_(W10T_A7H_3),2022-04-26T13:26:15.014+00:00,509554898,-71,199,509558351,W10T_A7H_B-1-9
560316243,142_(W10T_A7H_3),2022-04-26T13:26:22.637+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560316242,142_(W10T_A7H_3),2022-04-26T13:26:22.637+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560316287,142_(W10T_A7H_3),2022-04-26T13:26:29.743+00:00,509554898,-70,198,509542378,W10T_A7H_B-1-7
560316286,142_(W10T_A7H_3),2022-04-26T13:26:29.743+00:00,509554898,-70,198,509558438,W10T_A7H_B-1-10
560316285,142_(W10T_A7H_3),2022-04-26T13:26:29.743+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560316339,142_(W10T_A7H_3),2022-04-26T13:26:40.889+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560316338,142_(W10T_A7H_3),2022-04-26T13:26:40.889+00:00,509554898,-70,198,509542314,W10T_A7H_B-1-6
560316398,142_(W10T_A7H_3),2022-04-26T13:26:47.989+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560316397,142_(W10T_A7H_3),2022-04-26T13:26:47.989+00:00,509554898,-71,199,509542029,W10T_A7H_B-1-1
560316395,142_(W10T_A7H_3),2022-04-26T13:26:47.989+00:00,509554898,-71,199,509542314,W10T_A7H_B-1-6
560316445,142_(W10T_A7H_3),2022-04-26T13:26:55.098+00:00,509554898,-71,199,509558351,W10T_A7H_B-1-9
560316444,142_(W10T_A7H_3),2022-04-26T13:26:55.098+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560316443,142_(W10T_A7H_3),2022-04-26T13:26:55.098+00:00,509554898,-70,198,509542378,W10T_A7H_B-1-7
560316481,142_(W10T_A7H_3),2022-04-26T13:27:01.196+00:00,509554898,-69,197,509558438,W10T_A7H_B-1-10
560316567,142_(W10T_A7H_3),2022-04-26T13:27:08.301+00:00,509554898,-76,204,509542097,W10T_A7H_B-1-2
560316566,142_(W10T_A7H_3),2022-04-26T13:27:08.301+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560316565,142_(W10T_A7H_3),2022-04-26T13:27:08.301+00:00,509554898,-70,198,509559342,W10T_A7H_B-1-14
560316634,142_(W10T_A7H_3),2022-04-26T13:27:19.433+00:00,509554898,-72,200,509558438,W10T_A7H_B-1-10
560316632,142_(W10T_A7H_3),2022-04-26T13:27:19.433+00:00,509554898,-77,205,509542097,W10T_A7H_B-1-2
560316651,142_(W10T_A7H_3),2022-04-26T13:27:22.510+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560316650,142_(W10T_A7H_3),2022-04-26T13:27:22.510+00:00,509554898,-78,206,509542097,W10T_A7H_B-1-2
